id,user_id,badge_id,awarded_at,badge_info
b2fd9cf7-aa15-4755-ade7-aab7ed450237,167ea1ad-92c1-4da0-bf0b-b536b1adefa2,first_meal,2026-02-15T16:50:23Z,"{""name"": ""Primo Pasto"", ""description"": ""Test badge"", ""points"": 10}"
581a2b99-786a-45bd-8618-7368e10911c6,167ea1ad-92c1-4da0-bf0b-b536b1adefa2,week_streak,2026-02-12T16:50:23Z,"{""name"": ""Serie Settimanale"", ""description"": ""Test badge"", ""points"": 10}"
d6253c35-8ca4-4aec-b6a5-bc18a2ba1fac,167ea1ad-92c1-4da0-bf0b-b536b1adefa2,balanced_meal,2026-02-09T16:50:23Z,"{""name"": ""Pasto Bilanciato"", ""description"": ""Test badge"", ""points"": 10}"
92b80e9f-3dbe-403e-8f64-cc5251d39649,b60a2b8a-4ae2-4662-b143-3d4c7e264e75,week_streak,2026-02-15T16:50:23Z,"{""name"": ""Serie Settimanale"", ""description"": ""Test badge"", ""points"": 10}"
0c492e20-4a23-4019-a17b-c5742074d00f,b60a2b8a-4ae2-4662-b143-3d4c7e264e75,balanced_meal,2026-02-12T16:50:23Z,"{""name"": ""Pasto Bilanciato"", ""description"": ""Test badge"", ""points"": 10}"
6847111a-e8b4-4eeb-85e8-366183c6b6d5,b60a2b8a-4ae2-4662-b143-3d4c7e264e75,recipe_creator,2026-02-09T16:50:23Z,"{""name"": ""Chef Creativo"", ""description"": ""Test badge"", ""points"": 10}"
db54f3ec-2b2e-4d28-b3da-d6ab6e91d651,ab129a1c-eca8-4630-9949-013d7cce2da3,balanced_meal,2026-02-15T16:50:23Z,"{""name"": ""Pasto Bilanciato"", ""description"": ""Test badge"", ""points"": 10}"
90bb2e28-c47f-4713-8928-8f5ccbbb11b8,ab129a1c-eca8-4630-9949-013d7cce2da3,recipe_creator,2026-02-12T16:50:23Z,"{""name"": ""Chef Creativo"", ""description"": ""Test badge"", ""points"": 10}"
8f0a71f2-f9a2-47d5-831a-de4595d98a49,ab129a1c-eca8-4630-9949-013d7cce2da3,first_meal,2026-02-09T16:50:23Z,"{""name"": ""Primo Pasto"", ""description"": ""Test badge"", ""points"": 10}"
93b6a6bb-21a6-47fe-9ccf-c86c4c9f9c9b,2d6b6940-6e19-4086-8164-461b6a41ac51,recipe_creator,2026-02-15T16:50:23Z,"{""name"": ""Chef Creativo"", ""description"": ""Test badge"", ""points"": 10}"
5bb2a9a1-d98b-4817-a74b-3f1721e37cc5,2d6b6940-6e19-4086-8164-461b6a41ac51,first_meal,2026-02-12T16:50:23Z,"{""name"": ""Primo Pasto"", ""description"": ""Test badge"", ""points"": 10}"
2edd381b-30df-4696-8645-ab4e07ae661c,2d6b6940-6e19-4086-8164-461b6a41ac51,week_streak,2026-02-09T16:50:23Z,"{""name"": ""Serie Settimanale"", ""description"": ""Test badge"", ""points"": 10}"
92c40b51-3e09-4887-b138-bd19811f0d65,e83d86e7-fc00-49f8-8ced-8283a3f00fba,first_meal,2026-02-15T16:50:23Z,"{""name"": ""Primo Pasto"", ""description"": ""Test badge"", ""points"": 10}"
12e4fa99-d79e-45d9-ac09-ef8895bd1134,e83d86e7-fc00-49f8-8ced-8283a3f00fba,week_streak,2026-02-12T16:50:23Z,"{""name"": ""Serie Settimanale"", ""description"": ""Test badge"", ""points"": 10}"
ebfd710b-2ad5-42ed-aa62-c348cd4d9dee,e83d86e7-fc00-49f8-8ced-8283a3f00fba,balanced_meal,2026-02-09T16:50:23Z,"{""name"": ""Pasto Bilanciato"", ""description"": ""Test badge"", ""points"": 10}"
